Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
Mercedes-Benz,2008.0,Nigerian Used,128877.0,3274.9765625,Petrol,Automatic,"16,332,500"
JAC,2008.0,Nigerian Used,9972.0,3274.9765625,Petrol,Automatic,"6,730,000"
Lexus,2008.0,Nigerian Used,98226.0,3274.9765625,Petrol,Automatic,"4,378,000"
Lexus,2008.0,Nigerian Used,211824.0,3274.9765625,Petrol,Automatic,"3,610,000"
JAC,2008.0,Nigerian Used,35403.0,3274.9765625,Petrol,Automatic,"7,850,000"
Lexus,2008.0,Nigerian Used,72429.0,3274.9765625,Petrol,Automatic,"3,818,000"
Land Rover,2008.0,Nigerian Used,82891.0,3274.9765625,Petrol,Automatic,"5,386,000"
Lexus,2011.0,Foreign Used,211917.0,3500.0,Petrol,Automatic,"6,968,000"
Toyota,2014.0,Nigerian Used,216924.0,2500.0,Petrol,Automatic,"9,360,000"
Lexus,2008.0,Nigerian Used,97215.0,3274.9765625,Petrol,Automatic,"8,500,000"
Lexus,2008.0,Nigerian Used,32096.0,3274.9765625,Petrol,Automatic,"13,450,000"
Lexus,2008.0,Nigerian Used,182533.65556660038,3274.9765625,Petrol,Automatic,"11,000,000"
Lexus,2008.0,Nigerian Used,81936.0,3274.9765625,Petrol,Automatic,"3,370,000"
Mercedes-Benz,2008.0,Nigerian Used,146891.0,3274.9765625,Petrol,Automatic,"4,210,000"
Lexus,2008.0,Nigerian Used,182533.65556660038,3274.9765625,Petrol,Automatic,"9,000,000"
Lexus,2016.0,Nigerian Used,107355.0,5700.0,Petrol,Automatic,"42,000,000"
Toyota,2009.0,Nigerian Used,134232.0,2400.0,Petrol,Manual,"4,725,000"
Mercedes-Benz,2008.0,Nigerian Used,147895.0,3274.9765625,Petrol,Automatic,"4,490,000"
Mercedes-Benz,2007.0,Foreign Used,209466.0,4700.0,Petrol,Automatic,"4,515,000"
Mercedes-Benz,2008.0,Nigerian Used,156155.0,3274.9765625,Petrol,Automatic,"6,730,000"
Mercedes-Benz,2017.0,Nigerian Used,31079.0,3000.0,Petrol,Automatic,"41,600,000"
Mercedes-Benz,2008.0,Nigerian Used,34590.0,3274.9765625,Petrol,Automatic,"5,834,000"
Mercedes-Benz,2008.0,Nigerian Used,81907.0,3274.9765625,Petrol,Automatic,"3,146,000"
Lexus,2010.0,Foreign Used,135819.0,3500.0,Petrol,Automatic,"8,610,000"
Mercedes-Benz,2008.0,Nigerian Used,95702.0,3274.9765625,Petrol,Manual,"3,706,000"
Mercedes-Benz,2015.0,Nigerian Used,120785.0,4500.0,Petrol,Automatic,"18,720,000"
Lexus,2006.0,Nigerian Used,156704.0,3300.0,Petrol,Automatic,"3,640,000"
Toyota,2013.0,Foreign Used,143701.0,1800.0,Petrol,Automatic,"10,400,000"
Lexus,2008.0,Nigerian Used,162262.0,4700.0,Petrol,Automatic,"4,725,000"
Land Rover,2008.0,Nigerian Used,179633.0,3274.9765625,Petrol,Automatic,"5,050,000"
Mercedes-Benz,2008.0,Nigerian Used,59295.0,3274.9765625,Petrol,Automatic,"5,610,000"
Land Rover,2011.0,Nigerian Used,132352.0,5000.0,Petrol,Automatic,"5,250,000"
Toyota,2010.0,Foreign Used,170599.0,3500.0,Petrol,Automatic,"6,825,000"
Lexus,2007.0,Foreign Used,203492.0,3500.0,Petrol,Automatic,"4,410,000"
Lexus,2014.0,Foreign Used,72352.0,3500.0,Petrol,Automatic,"9,240,000"
Mercedes-Benz,2008.0,Nigerian Used,13123.0,3274.9765625,Petrol,Automatic,"39,210,000"
Lexus,2008.0,Nigerian Used,63086.0,3274.9765625,Petrol,Automatic,"7,850,000"
Fiat,2008.0,Nigerian Used,174.0,3274.9765625,Petrol,Manual,"11,700,000"
Lexus,2015.0,Foreign Used,228013.0,3500.0,Petrol,Automatic,"15,600,000"
Mercedes-Benz,2014.0,Nigerian Used,173644.0,1800.0,Petrol,Automatic,"6,090,000"
Toyota,2015.0,Foreign Used,79277.0,4000.0,Petrol,Automatic,"17,680,000"
Lexus,2015.0,Nigerian Used,88745.0,3500.0,Petrol,Automatic,"9,450,000"
Fiat,2000.0,Foreign Used,286241.0,24000.0,Diesel,Manual,"3,675,000"
Toyota,2010.0,Foreign Used,158017.0,3500.0,Petrol,Automatic,"6,825,000"
Toyota,2012.0,Foreign Used,122807.0,3500.0,Petrol,Automatic,"8,820,000"
Lexus,2004.0,Foreign Used,250650.0,3500.0,Petrol,Automatic,"6,032,000"
Mercedes-Benz,2006.0,Nigerian Used,243975.0,3500.0,Petrol,Automatic,"3,360,000"
Lexus,2013.0,Foreign Used,192175.0,3500.0,Petrol,Automatic,"9,880,000"
Land Rover,2018.0,Foreign Used,30092.0,3000.0,Diesel,Automatic,"36,750,000"
Lexus,2014.0,Foreign Used,77859.0,3500.0,Petrol,Automatic,"10,400,000"
Mercedes-Benz,2012.0,Foreign Used,173337.0,3500.0,Petrol,Automatic,"11,025,000"
Toyota,2015.0,Foreign Used,88627.0,3500.0,Petrol,Automatic,"15,600,000"
Lexus,2007.0,Foreign Used,141782.0,4600.0,Petrol,Automatic,"4,368,000"
Lexus,2005.0,Foreign Used,95873.0,3300.0,Petrol,Automatic,"5,200,000"
Toyota,2011.0,Foreign Used,215398.0,3500.0,Petrol,Automatic,"4,725,000"
Mercedes-Benz,2010.0,Nigerian Used,112360.0,4600.0,Petrol,Automatic,"6,240,000"
Lexus,2007.0,Foreign Used,348830.0,3500.0,Petrol,Automatic,"4,095,000"
Lexus,2010.0,Foreign Used,344424.0,3500.0,Petrol,Automatic,"9,048,000"
Lexus,2007.0,Nigerian Used,170778.0,3300.0,Petrol,Automatic,"4,680,000"
Acura,2007.0,Foreign Used,233488.0,3700.0,Petrol,Automatic,"3,570,000"
Acura,2011.0,Nigerian Used,90726.0,3700.0,Petrol,Automatic,"4,200,000"
Mercedes-Benz,2014.0,Nigerian Used,152669.0,4700.0,Petrol,Automatic,"13,520,000"
Toyota,2015.0,Nigerian Used,47602.0,3500.0,Petrol,Automatic,"9,660,000"
Toyota,2008.0,Foreign Used,132566.0,4700.0,Petrol,Automatic,"8,320,000"
Lexus,2007.0,Foreign Used,255839.0,3500.0,Petrol,Automatic,"5,460,000"
Toyota,2013.0,Nigerian Used,126686.0,3500.0,Petrol,Automatic,"7,280,000"
Land Rover,2013.0,Nigerian Used,76069.0,4500.0,Petrol,Automatic,"4,200,000"
Toyota,2007.0,Foreign Used,401813.0,2400.0,Petrol,Automatic,"3,885,000"
Lexus,2002.0,Foreign Used,119143.0,3000.0,Petrol,Automatic,"3,848,000"
Land Rover,2011.0,Nigerian Used,26628.0,5000.0,Petrol,Automatic,"9,360,000"
Mercedes-Benz,2006.0,Nigerian Used,231361.0,5000.0,Petrol,Automatic,"3,675,000"
Lexus,2007.0,Foreign Used,175135.0,3500.0,Petrol,Automatic,"4,500,000"
Tata,2008.0,Foreign Used,182533.65556660038,371000.0,Diesel,Manual,"17,850,000"
Lexus,2010.0,Nigerian Used,140073.0,3500.0,Petrol,Automatic,"4,784,000"
Toyota,2004.0,Foreign Used,294359.0,2400.0,Petrol,Automatic,"4,160,000"
Saturn,2007.0,Nigerian Used,182533.65556660038,3600.0,Petrol,Automatic,"3,150,000"
Mercedes-Benz,2015.0,Foreign Used,39662.0,3500.0,Petrol,Automatic,"14,560,000"
Porsche,2004.0,Foreign Used,359713.0,4500.0,Petrol,Automatic,"4,200,000"
Mercedes-Benz,2010.0,Nigerian Used,96957.0,3500.0,Petrol,Automatic,"6,240,000"
Toyota,2014.0,Foreign Used,65308.0,2000.0,Petrol,Automatic,"9,450,000"
Lexus,2007.0,Foreign Used,198969.0,2500.0,Petrol,Automatic,"4,992,000"
Toyota,2007.0,Foreign Used,149184.0,4000.0,Petrol,Automatic,"6,448,000"
Lexus,2009.0,Foreign Used,173307.0,3500.0,Petrol,Automatic,"4,500,000"
Toyota,2009.0,Foreign Used,208827.0,2400.0,Petrol,Automatic,"3,952,000"
Lexus,2006.0,Foreign Used,376865.0,3500.0,Petrol,Automatic,"4,680,000"
Lexus,2014.0,Foreign Used,139592.0,4600.0,Petrol,Automatic,"23,920,000"
Lexus,2008.0,Nigerian Used,97315.0,3200.0,Petrol,Automatic,"3,640,000"
Toyota,2015.0,Foreign Used,96531.0,3500.0,Petrol,Automatic,"10,290,000"
Acura,2011.0,Nigerian Used,78613.0,3700.0,Petrol,Automatic,"6,240,000"
Lexus,2006.0,Foreign Used,100763.0,3000.0,Petrol,Automatic,"3,150,000"
Mercedes-Benz,2010.0,Foreign Used,182533.65556660038,2500.0,Petrol,Automatic,"4,200,000"
Toyota,2007.0,Nigerian Used,104336.0,2400.0,Petrol,Automatic,"3,328,000"
Lexus,2007.0,Foreign Used,65060.0,3500.0,Petrol,AMT,"3,885,000"
Mercedes-Benz,2007.0,Nigerian Used,1966.0,35.0,Petrol,Automatic,"5,720,000"
Toyota,2017.0,Foreign Used,107748.0,2500.0,Petrol,Automatic,"12,600,000"
Lexus,2011.0,Foreign Used,137902.0,3000.0,Petrol,Automatic,"4,992,000"
Mercedes-Benz,2009.0,Nigerian Used,121829.0,4600.0,Petrol,Automatic,"5,720,000"
Mercedes-Benz,2013.0,Foreign Used,232813.0,4700.0,Petrol,Automatic,"14,560,000"
Lexus,2007.0,Foreign Used,124511.0,3500.0,Petrol,Automatic,"4,200,000"
Lexus,2015.0,Nigerian Used,24855.0,3500.0,Petrol,Automatic,"10,920,000"
Land Rover,2006.0,Foreign Used,213515.0,4400.0,Petrol,Automatic,"3,150,000"
Toyota,2011.0,Nigerian Used,114388.0,4000.0,Petrol,Automatic,"10,500,000"
Mercedes-Benz,2008.0,Foreign Used,227689.0,3500.0,Petrol,Automatic,"3,885,000"
Toyota,2010.0,Foreign Used,236601.0,2500.0,Petrol,Automatic,"6,448,000"
Land Rover,2016.0,Foreign Used,102429.0,35.0,Petrol,Automatic,"36,750,000"
Mercedes-Benz,2011.0,Nigerian Used,112122.0,4700.0,Petrol,Automatic,"6,760,000"
Lexus,2004.0,Nigerian Used,98430.0,4700.0,Petrol,Automatic,"4,680,000"
Toyota,2008.0,Foreign Used,93474.0,3500.0,Petrol,Automatic,"6,300,000"
Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic,"4,515,000"
Mercedes-Benz,2015.0,Foreign Used,168946.0,3500.0,Petrol,Automatic,"17,680,000"
Toyota,2015.0,Nigerian Used,67161.0,2500.0,Petrol,Automatic,"10,400,000"
Lexus,2007.0,Foreign Used,104138.0,3500.0,Petrol,Automatic,"5,928,000"
Toyota,2010.0,Foreign Used,158684.0,2500.0,Petrol,Automatic,"3,780,000"
Mercedes-Benz,2012.0,Foreign Used,165585.0,3500.0,Petrol,Automatic,"13,520,000"
Toyota,2008.0,Nigerian Used,118743.0,3500.0,Petrol,Automatic,"4,784,000"
Toyota,2010.0,Foreign Used,131164.0,2700.0,Petrol,Automatic,"6,090,000"
Toyota,2009.0,Foreign Used,168603.0,2500.0,Petrol,Automatic,"4,620,000"
Lexus,2009.0,Foreign Used,246462.0,3500.0,Petrol,Automatic,"5,200,000"
Land Rover,2014.0,Nigerian Used,56908.0,5000.0,Petrol,Automatic,"26,000,000"
Lexus,2008.0,Foreign Used,200262.0,35000.0,Petrol,Automatic,"4,680,000"
Toyota,2009.0,Nigerian Used,205371.0,3500.0,Petrol,Automatic,"7,072,000"
Mercedes-Benz,2006.0,Nigerian Used,380097.0,5000.0,Petrol,Automatic,"5,200,000"
Lexus,2001.0,Foreign Used,199731.0,3000.0,Petrol,Automatic,"3,150,000"
Lexus,2008.0,Foreign Used,85901.0,3500.0,Petrol,Automatic,"3,885,000"
Toyota,2005.0,Foreign Used,260730.0,4700.0,Petrol,Automatic,"4,992,000"
Toyota,2007.0,Foreign Used,274477.0,2400.0,Petrol,Automatic,"3,640,000"
Toyota,2011.0,Foreign Used,166839.0,2500.0,Petrol,Automatic,"4,160,000"
Mercedes-Benz,2008.0,Nigerian Used,118616.0,3274.9765625,Petrol,Automatic,"11,210,000"
Toyota,2014.0,Foreign Used,70649.0,3500.0,Petrol,Automatic,"8,400,000"
Mercedes-Benz,2008.0,Nigerian Used,215559.0,3274.9765625,Petrol,Automatic,"6,032,000"
Mercedes-Benz,2008.0,Nigerian Used,650.0,4000.0,Petrol,Automatic,"6,760,000"
Toyota,2013.0,Nigerian Used,79393.0,4700.0,Petrol,Automatic,"26,000,000"
Toyota,2010.0,Foreign Used,237886.0,2400.0,Petrol,Automatic,"3,675,000"
Lexus,2006.0,Nigerian Used,144513.0,3300.0,Petrol,Automatic,"3,744,000"
Mercedes-Benz,2016.0,Nigerian Used,62476.0,3500.0,Petrol,Automatic,"15,750,000"
Lexus,2008.0,Nigerian Used,224605.0,4600.0,Petrol,Automatic,"4,725,000"
Toyota,2016.0,Foreign Used,149753.0,2500.0,Hybrid,Automatic,"5,985,000"
Toyota,2013.0,Foreign Used,169183.0,2700.0,Petrol,Automatic,"8,610,000"
Mercedes-Benz,2013.0,Foreign Used,222344.0,3500.0,Petrol,Automatic,"8,925,000"
Toyota,2011.0,Foreign Used,93785.0,3000.0,Petrol,Automatic,"8,528,000"
Mercedes-Benz,2010.0,Nigerian Used,299309.0,4600.0,Petrol,Automatic,"5,775,000"
Toyota,2009.0,Foreign Used,137397.0,2400.0,Petrol,Automatic,"3,952,000"
Acura,2011.0,Nigerian Used,178050.0,3700.0,Petrol,Automatic,"5,200,000"
Toyota,2015.0,Foreign Used,218139.0,2700.0,Petrol,Automatic,"8,925,000"
Mercedes-Benz,2008.0,Foreign Used,175183.0,3000.0,Petrol,Automatic,"4,680,000"
Mercedes-Benz,2014.0,Foreign Used,83189.0,2000.0,Petrol,Automatic,"11,232,000"
Land Rover,2006.0,Nigerian Used,113872.0,4400.0,Petrol,Automatic,"3,120,000"
Mercedes-Benz,2007.0,Nigerian Used,110228.0,4500.0,Petrol,Automatic,"5,200,000"
Toyota,2011.0,Foreign Used,257742.0,3500.0,Petrol,Automatic,"4,935,000"
Toyota,2014.0,Foreign Used,86077.0,3500.0,Petrol,Automatic,"14,700,000"
Toyota,2012.0,Nigerian Used,76334.0,3500.0,Petrol,Automatic,"5,565,000"
Mercedes-Benz,2011.0,Nigerian Used,193201.0,3500.0,Petrol,Automatic,"5,616,000"
Mercedes-Benz,2006.0,Foreign Used,239529.0,5000.0,Petrol,Automatic,"4,515,000"
Land Rover,2006.0,Foreign Used,118872.0,3500.0,Petrol,Automatic,"3,150,000"
Toyota,2014.0,Foreign Used,89208.0,2500.0,Petrol,Automatic,"5,250,000"
Lexus,2008.0,Nigerian Used,186699.0,3500.0,Petrol,Automatic,"3,640,000"
Lexus,2007.0,Nigerian Used,156579.0,3500.0,Petrol,Automatic,"5,200,000"
Lexus,2014.0,Nigerian Used,69129.0,4600.0,Petrol,Automatic,"18,375,000"
Land Rover,2011.0,Nigerian Used,7842.0,4000.0,Petrol,Automatic,"6,825,000"
Toyota,2010.0,Nigerian Used,106427.0,3500.0,Petrol,Automatic,"6,968,000"
Toyota,2016.0,Foreign Used,55055.0,2500.0,Petrol,Automatic,"6,720,000"
Lexus,2008.0,Foreign Used,323768.0,3500.0,Petrol,Automatic,"3,832,500"
Lincoln,2019.0,Nigerian Used,35976.0,2000.0,Petrol,Automatic,"17,850,000"
Toyota,2017.0,Nigerian Used,101979.0,3500.0,Petrol,Automatic,"15,600,000"
Toyota,2015.0,Foreign Used,40962.0,2500.0,Petrol,Automatic,"10,400,000"
Toyota,2011.0,Foreign Used,142689.0,2400.0,Petrol,Automatic,"4,680,000"
Mercedes-Benz,2012.0,Nigerian Used,99661.0,3500.0,Petrol,Automatic,"7,280,000"
Mercedes-Benz,2010.0,Foreign Used,242841.0,3500.0,Petrol,Automatic,"6,615,000"
Lexus,2012.0,Foreign Used,135295.0,3500.0,Petrol,Automatic,"7,072,000"
Mercedes-Benz,2013.0,Nigerian Used,90604.0,4700.0,Petrol,Automatic,"15,600,000"
Land Rover,2006.0,Nigerian Used,137818.0,4000.0,Petrol,Automatic,"3,328,000"
Lexus,2007.0,Nigerian Used,177336.0,3500.0,Petrol,Automatic,"3,650,000"
Toyota,2010.0,Foreign Used,159981.0,3500.0,Petrol,Automatic,"7,560,000"
Land Rover,2010.0,Nigerian Used,140366.0,50000.0,Petrol,Automatic,"4,200,000"
Lexus,2012.0,Foreign Used,134949.0,3500.0,Petrol,Automatic,"10,192,000"
Toyota,2008.0,Foreign Used,197403.0,3500.0,Petrol,Automatic,"4,200,000"
Lexus,2007.0,Foreign Used,258585.0,35000.0,Petrol,Automatic,"4,160,000"
Mercedes-Benz,2014.0,Nigerian Used,51111.0,2000.0,Petrol,Automatic,"8,320,000"
Mercedes-Benz,2017.0,Nigerian Used,33853.0,3000.0,Petrol,Automatic,"33,280,000"
Toyota,2015.0,Foreign Used,150157.0,2700.0,Petrol,Automatic,"10,400,000"
Lexus,2007.0,Foreign Used,175836.0,3500.0,Petrol,Automatic,"4,680,000"
Toyota,2010.0,Foreign Used,214972.0,2500.0,Petrol,Automatic,"3,675,000"
Lexus,2007.0,Foreign Used,110621.0,2500.0,Petrol,Automatic,"4,095,000"
GMC,2008.0,Nigerian Used,167643.0,3600.0,Petrol,Automatic,"3,360,000"
Mercedes-Benz,2015.0,Foreign Used,111697.0,3200.0,Petrol,Automatic,"11,550,000"
Lexus,2005.0,Foreign Used,184460.0,3000.0,Petrol,Automatic,"3,675,000"
Toyota,2009.0,Foreign Used,176951.0,2700.0,Petrol,Automatic,"6,300,000"
Acura,2010.0,Foreign Used,147282.0,3700.0,Petrol,Automatic,"9,360,000"
Lexus,2010.0,Nigerian Used,203171.0,4600.0,Petrol,Automatic,"13,520,000"
Mercedes-Benz,2014.0,Foreign Used,33820.0,3500.0,Petrol,Automatic,"11,440,000"
Lexus,2007.0,Foreign Used,158117.0,3500.0,Petrol,Automatic,"3,675,000"
Toyota,2009.0,Foreign Used,127674.0,2700.0,Petrol,Automatic,"7,140,000"
Mercedes-Benz,2009.0,Nigerian Used,100337.0,4600.0,Petrol,Automatic,"4,472,000"
Toyota,2014.0,Foreign Used,40470.0,4000.0,Petrol,Automatic,"26,000,000"
Toyota,2015.0,Nigerian Used,37591.0,3500.0,Petrol,Automatic,"12,480,000"
Land Rover,2012.0,Nigerian Used,22281.0,4900.0,Petrol,Automatic,"8,320,000"
Toyota,2011.0,Foreign Used,185047.0,2500.0,Petrol,Automatic,"4,200,000"
Toyota,2012.0,Foreign Used,170038.0,2400.0,Petrol,Automatic,"5,250,000"
Toyota,2018.0,Foreign Used,106543.0,2800.0,Petrol,Automatic,"13,520,000"
Toyota,2008.0,Foreign Used,86802.0,2400.0,Petrol,Automatic,"3,045,000"
Land Rover,2003.0,Foreign Used,182533.65556660038,3500.0,Petrol,Automatic,"3,150,000"
Toyota,2013.0,Foreign Used,195785.0,3500.0,Petrol,Automatic,"10,400,000"
Toyota,2008.0,Nigerian Used,155618.0,2400.0,Petrol,Automatic,"3,016,000"
Mercedes-Benz,2016.0,Foreign Used,12053.0,35000.0,Petrol,Automatic,"13,520,000"
Lexus,2017.0,Foreign Used,26250.0,3500.0,Petrol,Automatic,"23,920,000"
Lexus,2010.0,Foreign Used,193624.0,3500.0,Petrol,Automatic,"6,032,000"
Lexus,2005.0,Foreign Used,124007.0,3300.0,Petrol,Automatic,"3,150,000"
Toyota,2015.0,Foreign Used,261250.0,2500.0,Petrol,Automatic,"6,300,000"
Mercedes-Benz,2018.0,Foreign Used,115896.0,3500.0,Petrol,Automatic,"24,150,000"
Mercedes-Benz,2004.0,Foreign Used,204436.0,2600.0,Petrol,Automatic,"3,675,000"
Mercedes-Benz,2012.0,Foreign Used,280554.0,3500.0,Petrol,Automatic,"9,360,000"
Toyota,2012.0,Foreign Used,373365.0,2500.0,Petrol,Automatic,"4,725,000"
Mercedes-Benz,2018.0,Foreign Used,56263.0,3000.0,Petrol,Automatic,"52,000,000"
Toyota,2009.0,Foreign Used,104917.0,2400.0,Petrol,Automatic,"3,465,000"
Mercedes-Benz,2013.0,Foreign Used,225174.0,3500.0,Petrol,Automatic,"13,520,000"
Lexus,2007.0,Foreign Used,203757.0,3500.0,Petrol,Automatic,"4,576,000"
Lexus,2005.0,Foreign Used,123282.0,3000.0,Petrol,Automatic,"3,150,000"
Toyota,2012.0,Foreign Used,172079.0,2500.0,Petrol,Automatic,"5,250,000"
Toyota,2017.0,Foreign Used,78320.0,2500.0,Petrol,Automatic,"7,035,000"
Toyota,2014.0,Foreign Used,115296.0,3500.0,Petrol,Automatic,"15,600,000"
Lexus,2008.0,Nigerian Used,142273.0,3500.0,Petrol,Automatic,"4,680,000"
Land Rover,2018.0,Foreign Used,59656.0,3000.0,Diesel,Automatic,"42,000,000"
Toyota,2011.0,Foreign Used,145489.0,2500.0,Petrol,Automatic,"3,885,000"
Toyota,2019.0,Foreign Used,63646.0,2500.0,Petrol,Automatic,"16,800,000"
Mercedes-Benz,2015.0,Nigerian Used,61515.0,3500.0,Petrol,Automatic,"14,560,000"
Toyota,2012.0,Nigerian Used,47180.0,2700.0,Petrol,Automatic,"14,560,000"
Lexus,2008.0,Foreign Used,73213.0,2500.0,Petrol,Automatic,"3,360,000"
Lexus,2004.0,Foreign Used,272206.0,4700.0,Petrol,Automatic,"11,440,000"
Lexus,2008.0,Foreign Used,227424.0,2500.0,Petrol,Automatic,"4,472,000"
Mercedes-Benz,2008.0,Nigerian Used,226924.0,3274.9765625,Petrol,Automatic,"6,394,000"
Lexus,2006.0,Nigerian Used,160209.0,2500.0,Petrol,Automatic,"4,160,000"
Mercedes-Benz,2017.0,Foreign Used,62879.0,2000.0,Petrol,Automatic,"13,650,000"
Mercedes-Benz,2011.0,Nigerian Used,101316.0,3500.0,Petrol,Automatic,"5,720,000"
Lexus,2006.0,Nigerian Used,210014.0,4700.0,Petrol,Automatic,"4,160,000"
Mercedes-Benz,2009.0,Foreign Used,232438.0,3500.0,Petrol,Automatic,"6,300,000"
Toyota,2011.0,Foreign Used,317231.0,2400.0,Petrol,Automatic,"4,472,000"
Toyota,2012.0,Foreign Used,325938.0,2500.0,Petrol,Automatic,"5,250,000"
Mercedes-Benz,2012.0,Foreign Used,148637.0,3500.0,Petrol,Automatic,"13,000,000"
Toyota,2009.0,Nigerian Used,149599.0,3500.0,Petrol,Automatic,"5,200,000"
Toyota,2015.0,Foreign Used,354563.0,2400.0,Petrol,Manual,"15,750,000"
Lexus,2007.0,Foreign Used,260907.0,3500.0,Petrol,Automatic,"3,885,000"
Toyota,2011.0,Foreign Used,89330.0,3500.0,Petrol,Automatic,"7,875,000"
Acura,2007.0,Foreign Used,196814.0,3700.0,Petrol,Automatic,"3,570,000"
Lexus,2006.0,Nigerian Used,154378.0,3274.9765625,Petrol,Automatic,"4,725,000"
Lexus,2006.0,Nigerian Used,157518.0,3300.0,Petrol,Automatic,"4,160,000"
Lexus,2018.0,Foreign Used,47581.0,20.0,Petrol,Automatic,"15,750,000"
Acura,2008.0,Nigerian Used,174107.0,3700.0,Petrol,Automatic,"3,744,000"
Acura,2007.0,Foreign Used,142822.0,2300.0,Petrol,Automatic,"3,570,000"
Mercedes-Benz,2011.0,Foreign Used,203172.0,3500.0,Petrol,Automatic,"4,410,000"
Land Rover,2008.0,Foreign Used,418613.0,4400.0,Petrol,Automatic,"5,250,000"
Toyota,2013.0,Nigerian Used,103941.0,2700.0,Petrol,Automatic,"12,480,000"
Toyota,2008.0,Nigerian Used,81648.0,3274.9765625,Petrol,Automatic,"7,290,000"
Lincoln,2008.0,Foreign Used,186615.0,3500.0,Petrol,Automatic,"3,990,000"
Mercedes-Benz,2010.0,Foreign Used,149647.0,3500.0,Petrol,Automatic,"8,112,000"
Mercedes-Benz,2011.0,Nigerian Used,73624.0,3500.0,Petrol,Automatic,"5,250,000"
Land Rover,2013.0,Nigerian Used,70430.0,2000.0,Petrol,Automatic,"9,360,000"
Toyota,2011.0,Foreign Used,244495.0,3500.0,Petrol,Automatic,"6,090,000"
Toyota,2013.0,Foreign Used,135027.0,2500.0,Petrol,Automatic,"5,616,000"
Mercedes-Benz,2008.0,Nigerian Used,144059.0,3274.9765625,Petrol,Automatic,"4,490,000"
